id	entry	ipa	pos	definition	example_sent	scientific_name	wiki_link	pic_link	comment	audio	created_at	marked
59	bakaigo	bakaigo	LEX	aranha		Ordem: Araneae	https://pt.wikipedia.org/wiki/Aranha	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Spiders_Diversity.jpg/960px-Spiders_Diversity.jpg			13/04/2026	true
60	bakuru	bakuɾu	LEX	vento							13/04/2026	true
61	bamaga baridu	bamaga baɾidu									13/04/2026	true
62	bapera	bapeɾa	LEX	papel, livro, caderno							13/04/2026	true
63	bapo	bapo	LEX	coração; chocalho			https://pt.wikipedia.org/wiki/Coração	https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Heart_tee_four_chamber_view.jpg/960px-Heart_tee_four_chamber_view.jpg			13/04/2026	true
64	barigodu 1	baɾiˈgodːɯ	LEX	leve, sem graça							13/04/2026	true
65	barigu	baɾigu		jogar, lançar	pare bola barigu = nós jogamos bola							true
66	barogo peguru	baɾogo peguɾu	LEX	minhoca							13/04/2026	true
67	barogwato	baɾogwato	ADV	amanhã							13/04/2026	true
68	baru	baɾu	LEX	céu, firmamento							13/04/2026	true
69	barudureboe	baɾuduɾeboe									13/04/2026	true
70	bataru	bataɾu	LEX	palavra, fala, linguagem, idioma, verbo	batarure oino = falou assim						13/04/2026	true
71	bi	bi	LEX	morte, morrer	iwiwo = para eu morrer						13/04/2026	true
72	biado	biado									13/04/2026	true
73	biagodu	biaˈgodːɯ	LEX	esquecimento, olvido; esquecer							13/04/2026	true
74	biaja	biadʒːa	LEX	ouvido							13/04/2026	true
75	biaja bokwa	biadʒːa	LEX	surdez, teimosia							13/04/2026	true
76	biaku pegarewu	biaku pegaɾew		este frio não foi boa ou não é bom							13/04/2026	true
77	biapaga	biapaga	LEX	atenção, escuta; prestar atenção, escutar	iwiapagawo = para eu ouvir						13/04/2026	true
78	bie1	bie	S	jenipapo (genipapo)		Genipa americana	https://pt.wikipedia.org/wiki/Jenipapo	https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Genipa_americana_L._fruits_%28codiferous%29.jpg/500px-Genipa_americana_L._fruits_%28codiferous%29.jpg			13/04/2026	true
79	bie2	bie	S	irmão mais novo, irmã mais nova	makore nowu tuwie bogai = chamou ( procurou ) pelo seu irmão caçula						13/04/2026	true
80	bigodu1	biˈgodːɯ	LEX	agonia, desmaio, amortecimento; estar para morrer							13/04/2026	true
81	bigodu2	biˈgodːɯ	LEX	qualidade do que é esguio, fino							13/04/2026	true
82	bioro	bioɾo	LEX	vácuo, vazio							13/04/2026	true
83	biri 1	biɾi	LEX	bondade, honestidade, retidão, justiça							13/04/2026	true
84	biri 2	biɾi	LEX	pele, epiderme, casca, pericárpio, couro							13/04/2026	true
85	biri ta	biɾi ˈta		descascar							13/04/2026	true
86	bito	bito	VC	matar							13/04/2026	true
87	bitu	bitu	LEX	apagamento, secura, cura de uma ferida; secar, apagar-se, ser morto, ser apagado							13/04/2026	true
88	boadu	boadːɯ	LEX	brinquedo, passeio, caçada brincar, divertise, passear							13/04/2026	true
89	bodo	bodo		tecer							13/04/2026	true
90	boe	boe	LEX	coisa, bororo, gente, tempo, paisagem	boe motunure = a paisagem é/era bonita; Boe eture = os Bororo vieram						13/04/2026	true
91	boe bo	boe bo	LEX	penas, pluma							13/04/2026	true
92	boe butu (boebutu)	boe butu	LEX	capim, pastagem							13/04/2026	true
93	boe co ji	boe co ji		a noite							13/04/2026	true
94	boe eiako	boe eiako		buraco							13/04/2026	true
95	boe eiakodo	boe eiakodo	VC	faça buraco							13/04/2026	true
96	boe ekeja	boe ekedʒa		lugar de alimento							13/04/2026	true
97	boe epegarewuge	boe epegaɾewge		pessoas perigosos/as, não são boas ou povos indigenas de outras etnias							13/04/2026	true
98	Boe etore	Boe etoɾe	LEX	crianças bororo, filhos dos Bororo							13/04/2026	true
99	boe ewiri uru	boe ewiɾi uɾu		febre							13/04/2026	true
100	boe ke	boe ke		alimento dos Bororo							13/04/2026	true
101	boe tugu (boetugu)	boe tugu	LEX	nuvem, sombra							13/04/2026	true
102	boeragudu (jeragudu)	boeɾagudːɯ	LEX	relâmpago, relampejar							13/04/2026	true
103	bokigo	bokigo		corda								true
104	bokokuwa	bokokua	LEX	grilo	Bokokuwa coreu = Grilo preto						13/04/2026	true
105	bokwa	bokwa	ADV	negação (predicados não verbais)	kodire bokwamodukare adugo maku = por isso ele não não vai deixar de entregar a onça						13/04/2026	true
106	bokwaro	bokwaɾo	LEX	cerração, neblina							13/04/2026	true
107	bokwarore	bokwaɾoɾe		tem vapor aquoso, cerração							13/04/2026	true
108	bope	bope	S	espírito mau	bope tuiorudo tabore ro oino = o espírito mau fez isso com sua esperteza						13/04/2026	true
109	botugu tabo	botugu tabo		muito lento, devagar							13/04/2026	true
110	bowuje	bowudʒːe	VT	rachar, cortar, rasgar, partir Ver bo;							13/04/2026	true
111	bu 1	bɯ	LEX	pelo, barba, plumagem, revestimento							13/04/2026	true
112	bubutu	bɯbɯtɯ	LEX	chuva							13/04/2026	true
113	bukigu	bukigu	LEX	linha, corda, cordel							13/04/2026	true
114	bure	buɾe	LEX	pé, base							13/04/2026	true
115	bure rupe	buɾe ɾupe	LEX	tornozelo, maléolo	iwure rupe korire awu boe coji= meu tornonelo doeu esta noite						13/04/2026	true
116	iogoduba	iogoduba		quem será essa pessoa								true
117	buregi	buɾegi	LEX	unha das patas posteriores dos animais; garra de ave							13/04/2026	true
118	buri	buɾi	LEX	designação de vários graus de parentesco feminino							13/04/2026	true
119	ceboje	tʃebodʒːe		ao lado da parte de cima							13/04/2026	true
120	cewu	tʃewu	DEM	aquele(a)(s)							13/04/2026	true
121	cinorudo	tʃinoɾudo		escapoluiu, fugiu							13/04/2026	true
122	coboje	tʃobodʒːe	ADV	em cima, em alto, para cima, do lado de cima							13/04/2026	true
123	core	tʃoɾe		cor preto							13/04/2026	true
124	tugeru kabiji			lamber com a lígua							13/04/2026	true
125	ecogo	etʃogo	LEX	variedade de betvi							13/04/2026	true
126	eimejera	eimedʒeɾa		chefe deles							13/04/2026	true
127	ema i	ema i	LEX	ipê roxo, piu roxa							13/04/2026	true
128	ema!	ema!	ADV	sim, isso mesmo, é verdade!							13/04/2026	true
129	ema1	emːa	ADV	sim, isso mesmo, é verdade!							13/04/2026	true
130	ema2	emːa	LEX	flor rocha de ipê							13/04/2026	true
131	enoja	enːodʒːa	LEX	narina de pessoa, animal ou peixe							13/04/2026	true
132	enopagado	enːopagadːʌ	LEX	olfatear, farejar, cheirar							13/04/2026	true
133	era	eɾa		canto deles/as ou ossos deles/as							13/04/2026	true
134	eragu	eɾagu	LEX	apanhamento, afago, apanhar, pegar, afagar							13/04/2026	true
135	erajodo (ierajodo)	eɾadʒodo	LEX	empurrar							13/04/2026	true
136	erako (ierako)	eɾako	LEX	dedo da mão							13/04/2026	true
137	erareko	eɾaɾeko	LEX	esfregar	akera reko ji = você o esfregou; akera reko pui ?						13/04/2026	true
138	ere paru akudo			limparam os pés deles ou limparam ao redor dos pés							13/04/2026	true
139	erogeregere	eɾogeɾegeɾe	LEX	gago, gaguejar							13/04/2026	true
140	eru	eːɾu	LEX	língua							13/04/2026	true
141	gorido	goɾidːʌ	LEX	assar, tostar, torrar							13/04/2026	true
142	iaogaiwu (jaogaiwu ou jaogwaiwu)	iaogaiwu	LEX	o que está ao lado, o que está do lado de							13/04/2026	true
143	iaro pemegarewu	iaɾo pemegaɾew		aquilo que fez de bom, melhor							13/04/2026	true
144	ibora	iboɾa	LEX	balsa, cerca de paus, curral, ponte							13/04/2026	true
145	ie	ie	LEX	nome, ter nome (chamar-se)	akiere João = teu nome é João						13/04/2026	true
146	iera	ieɾa	LEX	mão				https://upload.wikimedia.org/wikipedia/commons/9/92/Gray1234.png			13/04/2026	true
147	iera paru kajejewu	ieɾa paɾu kadʒedʒewu		pulseira							13/04/2026	true
148	ikera oiadadawu metia bokware			três								true
149	ikurudu	ikuɾudːɯ	V	urinar							13/04/2026	true
150	imedu	imedːɯ		homem							13/04/2026	true
151	imi	imi	PRON	eu							13/04/2026	true
152	inegi	inegi	LEX	unha, garra							13/04/2026	true
153	ioga	ioga									13/04/2026	true
154	iogwa	iogwa									13/04/2026	true
155	irá (i ra)	iˈɾa	LEX	fatia, tábua, mesa, mobília de madeira em geral							13/04/2026	true
156	iragoja	iɾagodʒa		lugar onde resido, residência							13/04/2026	true
157	itoru	itoɾu	LEX	pescoço							13/04/2026	true
158	itoru ra	itoɾu ɾa	LEX	vértebras cervicais, ossos do pescoço							13/04/2026	true
159	itura	ituɾa	LEX	floresta, mata							13/04/2026	true
160	iura ra (jura ra)	iuɾa ɾa	LEX	costela, caixa torácica							13/04/2026	true
161	iwu	iwu	LEX	corpo, coisa inteiriza							13/04/2026	true
162	jaere	dʒaeɾe		longe da distância							13/04/2026	true
163	jakare	dʒakaɾe		nó grande na árvore, pau							13/04/2026	true
164	jamedu boe	dʒamedu boe		todas as coisas							13/04/2026	true
165	jaogwai	dʒaogwai	POSP	ao lado de, do lado de	ikana bemegarewu jaogwai = do meu lado direito						13/04/2026	true
166	jari (iˈari)	dʒaɾi	LEX	toca, gruta, buraco na pedra, rocha							13/04/2026	true
167	jawu meri ji			ontem de dia								true
168	je 1	dʒːe	ADV	aí; assim							13/04/2026	true
169	je 2	dʒːe	LEX	rosto dele, face dele, frente de							13/04/2026	true
170	je 3	dʒe 3	LEX	rosto, cara, superfície, existência, vida, viver							13/04/2026	true
171	jekiripagado	dʒekiɾipagadːʌ	VC	enganar, defraudar							13/04/2026	true
172	jeredudu	dʒeɾedudːɯ	LEX	fumaça							13/04/2026	true
173	jeri	dʒeɾi	LEX	testa							13/04/2026	true
174	jerigi	dʒeɾigi	LEX	madeira seca, lenha, cerne, travesseiro de madeira							13/04/2026	true
175	jerimaga	dʒeɾiamaga	LEX	severidade, energia, esforço, falecimento, morte, dor, funeral, cheiro, perfume							13/04/2026	true
176	jerorewu	dʒeɾoˈɾew	S	esperto							13/04/2026	true
177	jetu pemegarewu	dʒetu pemegaɾew		ele tem o cuidado							13/04/2026	true
178	jewodu	dʒewodu	LEX	ressurreição, animação, ressuscitar							13/04/2026	true
179	jodo to	dʒodo to	V	empurrar em algo							13/04/2026	true
180	joku	dʒoku	LEX	olho, limpidez							13/04/2026	true
181	joku bu	dʒoku bu		cílio							13/04/2026	true
182	joradu	dʒoɾadːɯ	LEX	carvão							13/04/2026	true
183	joru	ˈdʒoɾu	LEX	fogo				https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Fire_looped_2.gif/500px-Fire_looped_2.gif			13/04/2026	true
184	joru kejewu	dʒoɾu kedʒewu		algo que está em cima de fogo							13/04/2026	true
185	joru tugu	dʒoɾu tugu		icendeia o fogo, coloque fogo							13/04/2026	true
186	jorubo	dʒoɾubo	LEX	remédio, epidemia, doença, veneno, estrepe, tropeço							13/04/2026	true
187	jorubo kuru	dʒoɾubokuɾu	LEX	remédio líquido, remédio dos civilizados (mesmo que não seja líquido							13/04/2026	true
188	jorudu	dʒoɾudːɯ	LEX	visão, sabedoria, conhecimento, ensinamento	ioruduwo = para eu saber						13/04/2026	true
189	jorudu pegare	dʒoɾudu pegaɾe		ele não achou perfeito							13/04/2026	true
190	jorududu	dʒoɾududu	LEX	fazer ver, mostrar							13/04/2026	true
191	joruduiwa	dʒoɾuduiwa	LEX	sabedoria, saber, aprender conhecer							13/04/2026	true
192	jorudure	dʒoɾuduɾe		ele viu							13/04/2026	true
193	jorugudu	dʒoɾugudːɯ	LEX	cinza							13/04/2026	true
194	ju	dʒu	S	arbusto da floresta semelhante ao pé de mandioca; mandioca							13/04/2026	true
195	jugo	dʒugo	LEX	queixada		Tayassu pecari	https://pt.wikipedia.org/wiki/Queixada	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Tayassu_pecari_-Brazil-8.jpg/960px-Tayassu_pecari_-Brazil-8.jpg			13/04/2026	true
196	jugorewu	dʒugoˈɾew	S	porco doméstico		Sus scrofa domesticus	https://pt.wikipedia.org/wiki/Porco_doméstico	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Sow_with_piglet.jpg/500px-Sow_with_piglet.jpg			13/04/2026	true
197	jukudu	dʒukudːɯ	LEX	farinha de mandioca							13/04/2026	true
198	ka	ka	LEX	gordura, sebo; resistência, força; lasca; qualidade do que é esguio; tambor							13/04/2026	true
199	kado	kadːʌ	LEX	taquara, risco							13/04/2026	true
200	kado oiado	kado oiado		corta no meio							13/04/2026	true
201	kagariga aredu	kagaɾiga aɾedu		galinha fêmea							13/04/2026	true
202	kaibá	kaibá	ADV	aonde							13/04/2026	true
203	kaibori	kaiboɾi	LEX	mão de pilão; variedade de mancha de estrela							13/04/2026	true
204	kanabo	kanabo	LEX	umbigo	negedorogu ukanabo buture = o umbigo da criança caiu						13/04/2026	true
205	kanaiwo	kanaiwo		cana de açúcar							13/04/2026	true
206	karao	kaɾao		inhame							13/04/2026	true
207	kowo	kawa		para feder, mal cheiro							13/04/2026	true
208	kaworu	kawoɾu	S	azul, verde							13/04/2026	true
209	keragu	keɾagu		pegar, apanhar algo							13/04/2026	true
210	kiga	kiga	LEX	cerne, chifre, prego ornamental da cabeça	Tapira kiga kurire 0 a vaca tem chifre grande						13/04/2026	true
211	kigadurewu	kigaduˈɾew	LEX	o branco, o limpo, o pálido							13/04/2026	true
212	kiogo corewu	kiogo tʃoɾew		passarinho preto							13/04/2026	true
213	kodiba	kodiba	ADV	motivo, causa, razão, porquê							13/04/2026	true
214	kodoro	kodoɾo	LEX	broto de palmeira, palha							13/04/2026	true
215	kodu	ˈkodːɯ	LEX	vôo, ida, saída, partida, caminho; voar, ir, caminhar, partir							13/04/2026	true
216	kodu	ˈkɔdːɯ	S	carne, músculo; cozido, assado							13/04/2026	true
217	kodure	koduɾe									13/04/2026	true
218	kogoriga (kagariga)	kogoɾiga	LEX	galo, galinha							13/04/2026	true
219	koia	koia		por causa de							13/04/2026	true
220	kojari (kôjari)	kodʒaɾi	LEX	tosse, tuberculose							13/04/2026	true
221	korao	koɾao	LEX	papagaiverdadeiro, chamado também reko							13/04/2026	true
222	korawu	koɾawu		encher, lotar							13/04/2026	true
223	kore	koɾe									13/04/2026	true
224	korobadu	koɾobadːɯ	LEX	enchimento, encher, ficar cheio							13/04/2026	true
225	kowaru	kowaɾu									13/04/2026	true
226	kuboro	kubɔɾɔ	LEX	putrefação, azedume							13/04/2026	true
227	kuborogodu	kuboɾogodu	V	apodrecer	kuborogodunure = está apodrecendo						13/04/2026	true
228	kudae	kudae	LEX	roupa	joru cere aredu kudae to = Pegou fogo na roupa da mulher						13/04/2026	true
229	kudu	kudːɯ	LEX	líquido, bebida; beber	ikuduwo = para eu beber						13/04/2026	true
230	kugaru	kugaɾu	LEX	areia							13/04/2026	true
231	kugudugodu	kugudːɯˈgodːɯ	LEX	moleza incipiente, fraqueza incipiente, nojo incipiente, cansar, ficar mole, fraco							13/04/2026	true
232	kuibokwa (kuribo okwa)	kuibokwa	LEX	boca do estômago							13/04/2026	true
233	kuieje	kuiedʒːe	LEX	nígua, pulga indistintamente							13/04/2026	true
234	kuieje (ikuieje)	kuiedʒːe	LEX	estrela, astro indistintamente, exceto o sol e a lua							13/04/2026	true
235	kumara	kumaɾa	LEX	variedade de pimentinha silvestre; pimenta; antigo termo para designar o homem branco (baraedu)							13/04/2026	true
236	kuri	kuɾi	ADV	logo, imediatamente							13/04/2026	true
237	kuri	kuɾi	LEX	abundância, grandeza, grande, estimado, querido; ser grande, ser estimado							13/04/2026	true
238	kuri	kuɾi	LEX	hipocôndrio, ventre, abdome							13/04/2026	true
239	kuri butu	kuɾi butu									13/04/2026	true
240	kurodureboe	kuɾoduɾeboe	LEX	fruta madura; furúnculo							13/04/2026	true
241	magaracada	magaɾatʃada									13/04/2026	true
242	maido	maidːʌ	LEX	ter dó, compadecer-se, suplicar, pedir, chorar							13/04/2026	true
243	maka	maka	LEX	abundância, multidão, muito							13/04/2026	true
244	maku	maku									13/04/2026	true
245	maragodae	maɾagodae	LEX	trabalho							13/04/2026	true
246	maragodu	maɾaˈgodːɯ	LEX	pressa, rapidez, trabalho							13/04/2026	true
247	marugodu peguru	maɾugodu peguɾu	LEX	minhoca							13/04/2026	true
248	mato	matʌ	ADV	para cá							13/04/2026	true
249	mearudu (meardu)	meaɾudu	LEX	pensamento, amor, entendimento, audição; ouvir, escutar							13/04/2026	true
250	mearutoru	meaɾutoɾu	LEX	crença, confiança, esperança; crer, acreditar, ter confiança							13/04/2026	true
251	mekire	mekiɾe									13/04/2026	true
252	meri jamedu ji	meɾi dʒamedu dʒi									13/04/2026	true
253	meri rutu	meɾi ɾutu	LEX	levantar do sol, oriente, leste	Meri ruture marigudu, care a bokare amugudo 0 o levantar do sol já faz tempo, não levanta				tipo levantar da cama		13/04/2026	true
254	meri1	ˈmeɾi	LEX	corte, gume, fio							13/04/2026	true
255	meri2	ˈmeɾi	LEX	sol							13/04/2026	true
256	meri3	ˈmeɾi	LEX	tiê-fogo		Ramphocelus bresilius	https://pt.wikipedia.org/wiki/Tiê-sangue	image: https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Ramphocelus_bresilius_-Sao_Paulo_Bagre%2C_Cananeia%2C_Sao_Paulo%2C_Brasil_-male-8.jpg/960px-Ramphocelus_bresilius_-Sao_Paulo_Bagre%2C_Cananeia%2C_Sao_Paulo%2C_Brasil_-male-8.jpg			13/04/2026	true
257	meridodu	meɾiˈdːodːɯ	PPASS	afiado							13/04/2026	true
258	merire kodu tabo										13/04/2026	true
259	meriri	meˈɾiɾi	LEX	metal, brilho, brilhar							13/04/2026	true
260	meriri jira	meɾiɾi dʒiɾa										true
261	meriri kuru	meɾiɾi kuɾu									13/04/2026	true
262	meru1	meɾu	LEX	caminho, marcha, caçada, viagem; andar, caçar, viaja	imeruwo = para eu caminhar						13/04/2026	true
263	meru2	meɾu	LEX	variedade de raia	Meru edare tadarimana rema akogogo kurodukeje ere tuwado = Tadadrimana é o lugar da arraia quando tarumã amadurece ele desovam						13/04/2026	true
264	metu pemegado	metu pemegado									13/04/2026	true
265	metuia (f. metago pl. metage)	metuia	LEX	companheiro, colega, amigo, camarada	Metuia rekodure piji rareiao paru kae 0 o colega correu dele para ir a Rondonópolis						13/04/2026	true
266	mi	mi	VT	fechar, costurar							13/04/2026	true
267	mito	mito										true
268	mokuro	mokuɾo	LEX	seio							13/04/2026	true
269	mokuro kuru	mokuɾo kuɾu	LEX	leite de mamífero							13/04/2026	true
270	mokuru kuru tawuje	mokuɾu kuɾu tawudʒːe									13/04/2026	true
271	morido	moɾiˈdːo	VC	pagar							13/04/2026	true
272	morora ra	moɾoɾa ɾa	LEX	coluna vertebral							13/04/2026	true
273	morora1	moɾoɾa	LEX	região da coluna vertebral, espalda							13/04/2026	true
274	morora2	moɾoɾa	LEX	região peitoral							13/04/2026	true
275	moto	moto	LEX	terra, chão, solo							13/04/2026	true
276	moto magadu	moto magadu									13/04/2026	true
277	moto ri	motːo ɾi		parede (da casa)							13/04/2026	true
278	motudu	motudːɯ	LEX	peso							13/04/2026	true
279	muga pega	muga pega	LEX	avó							13/04/2026	true
280	mugu	mugu	LEX	assento, morada, estadia, lugar; ficar, estar, morar,							13/04/2026	true
281	nogwaredu (pl. nogware)	nogwaɾedu	LEX	menina							13/04/2026	true
282	nowu1	nɔwu	DEM	aquele							13/04/2026	true
283	nowu2	nɔwu	PRON	fulano, esposo							13/04/2026	true
284	nuba	nuˈba	ADV	como? Ver inoba;							13/04/2026	true
285	nudu	ˈnudːɯ	LEX	sono dormir	unudure = ele dormiu						13/04/2026	true
286	nuiao	nuiao	LEX	sonho sonhar							13/04/2026	true
287	o boe	ɔ boe	S	esperma							13/04/2026	true
288	o2	ɔ	LEX	dente, broto de taquara							13/04/2026	true
289	o3	o	LEX	pai							13/04/2026	true
290	o4	o	LEX	propriedade, coisa possuída	ceno bakaru = nossas histórisa						13/04/2026	true
291	o5	o	LEX	rabo, cauda							13/04/2026	true
292	odo	odːʌ	LEX	separar para ele							13/04/2026	true
293	oedo (toˈedo)	oedo	LEX	morder							13/04/2026	true
294	ogwariwo										13/04/2026	true
295	oiaga	aiaga	LEX	cauda de ave							13/04/2026	true
296	oiaga	oiaga	S	asa, cauda de ave, cabeleira							13/04/2026	true
297	ojá	oˈdʒːa	S	camarão							13/04/2026	true
298	okwa1	ˈokwa	LEX	lábio, boca, margem, beirada							13/04/2026	true
299	okwa2	ˈokwa	LEX	ocultação, ausência, perda, morte; perder-se, morrer							13/04/2026	true
300	okwa3	okwa3	LEX	lobinho							13/04/2026	true
301	okwage	okwage	LEX	alimento, comida; comer	inogwagewo = para eu comer						13/04/2026	true
302	okwaji	okwadʒi									13/04/2026	true
303	okwatorurewu	okwatoɾuˈɾew	LEX	grosso	Imagore ino bapera okwatorurewuto. 0 estou lendo meu livro grosso. / Imode ino bapera okwatorurewu reko. = Vou levar meu livro grosso.						13/04/2026	true
304	ora	oɾa	LEX	dente premolar e molar, queixo							13/04/2026	true
305	ora bu	oɾa bu		barba							13/04/2026	true
306	oredu bire piji	oɾedu biɾe pidʒi		viúva							13/04/2026	true
307	orituginai	oɾitigiˈnai									13/04/2026	true
308	otodai	otodai	POSP	antes de, diante de, na frente de							13/04/2026	true
309	oweari	oʋeˈaɾi	LEX	vômito, vomitar	awu meri ji etonaregedu owearire = hoje de manhã o filho dele vomito						13/04/2026	true
310	pagudu	pagudːɯ	LEX	medo, temor, receio; ter medo, temer, recear							13/04/2026	true
312	pao pega	pao pega									13/04/2026	true
313	paro1	paɾo	LEX	machado	iwo paro merido = vou afiar o machado			https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Axt_Handwerk.jpg/500px-Axt_Handwerk.jpg			13/04/2026	true
314	paro2	paɾo	LEX	sucupira							13/04/2026	true
315	parudo	paɾudːʌ	LEX	celebrar; começar, iniciar, introduzir							13/04/2026	true
316	pawuje	paʋɯdʒːe	VT	compreender, decifrar, descobrir, adivinhar, prever Ver pa;							13/04/2026	true
317	peagodu	peaˈgodːɯ	LEX	peido, peidar							13/04/2026	true
